Business_ID,Business_Name,City,State,Postal_Code,Latitude,Longitude,Star_Rating,Review_Count,Delivery,Takeout,Outdoor_Dining,Vegetarian_Options,Free_Wi-Fi
ZNO65CCW4TD,Lacinia Corporation,Tampa,AL,76213,-37.83650755,41.97121249,3,4093,0,1,1,1,0
GAI81BTJ6QV,Blandit Enim Consequat Limited,Cheyenne,HI,53735,18.400926,66.81389773,5,5772,0,0,1,1,0
MTV71RYU9RT,Purus Mauris LLC,Houston,OK,48415,89.58024059,90.89571031,2,2765,1,1,1,0,0
NSI31NDI7MR,Est Congue Incorporated,Gary,VA,77501,-68.63935662,159.1241392,3,15,1,0,0,1,1
QTQ77ENH7PJ,Adipiscing LLC,Frankfort,PA,63623,-43.53652931,-24.90674125,4,7514,0,1,0,0,1
LXY35OLY6EG,Duis Dignissim Incorporated,Norfolk,CA,22650,47.14250424,179.8246188,3,4660,0,0,1,1,0
NYR92WBV9OJ,In Condimentum Incorporated,Duluth,UT,61596,-21.19525847,-165.4201306,1,7834,1,1,1,0,1
PSJ89QLN8ZG,Turpis Vitae Inc.,Iowa City,KS,76574,-49.14681702,-36.33623583,2,4344,1,1,1,1,0
WGQ55VYK8NS,Ut Corp.,Fort Smith,WA,73325,-31.48170824,47.38410107,1,7079,0,1,1,1,1
WCY76ENL2UX,Ornare Egestas Ligula PC,Jacksonville,CA,96602,-47.84074291,34.71435121,2,931,0,1,1,0,1
BXQ21XPX4ZQ,In Limited,Orlando,ID,27466,72.26661315,116.0946182,2,6505,0,1,0,0,0
YZI21JFA4CK,Nisi Magna LLC,Lincoln,MD,88776,42.81242327,37.13297162,2,1583,1,0,1,0,0
JMD85UUI7EX,Eget Limited,Hilo,OH,88554,87.40754534,-40.60027515,4,8898,0,1,0,0,1
WFI35VRS5OW,Blandit Consulting,Grand Island,VT,71817,88.67044792,148.9539867,5,684,1,1,0,0,1
KWO57GRL8RB,Dignissim Tempor Arcu Corporation,Essex,MT,28162,-0.908358861,135.1375207,5,6345,1,0,0,1,0
CBA60GEO7DG,Commodo Incorporated,Olathe,OK,53211,60.67560806,50.18201006,1,7553,1,0,0,1,0
CCE47DXR7DE,Eros Proin Ultrices Institute,Worcester,PA,84736,29.62887967,122.9320709,1,9440,0,1,0,1,0
KXO36YQC8SO,Donec Elementum Limited,Sioux City,MN,58606,-25.33966213,-162.9693245,4,7644,1,1,0,1,1
MCE12XCM0AT,Ridiculus Ltd,Laramie,TN,65584,-84.06565816,122.1190376,3,1300,0,0,0,1,1
VTU66REM1CW,Rutrum Fusce Dolor Corporation,Orlando,CO,85598,-81.10373878,15.08660244,5,7380,0,1,1,0,1
YBT44YMM2XZ,Sollicitudin A Malesuada Limited,Grand Rapids,MT,59111,-13.43042314,91.07769661,1,8311,0,0,1,0,1
WWF28RXT9KN,At Nisi LLC,Helena,IL,36248,38.38116874,-148.3134822,2,4903,0,0,1,1,1
XJF24MWI3WS,Dapibus Gravida Aliquam Incorporated,Huntsville,MS,37178,26.82930043,95.08385679,5,7787,1,0,1,1,0
BVH27AJA1CU,Nulla Dignissim Maecenas PC,Hilo,ID,67316,82.39880346,41.33990779,1,3339,1,1,0,1,1
KXL25XOD1SJ,At Fringilla Institute,Southaven,HI,46276,-15.20018555,85.67998249,2,9492,0,0,0,0,1
HOB43IAC9EG,Aliquet Libero Limited,Gulfport,IL,47322,-22.17970749,-32.00374415,3,3572,1,0,1,0,0
DTL22QYW8XN,Sagittis Lobortis Corporation,Chandler,MO,99923,-64.95041731,-155.0587024,2,6981,1,1,1,1,1
WUL91JEQ5DK,Purus Accumsan Interdum Foundation,Reno,CT,13441,-66.91201526,-90.90422395,3,1462,1,0,1,0,0
HGB03ODS1KM,Ac Mi Eleifend Industries,Fort Worth,MI,99931,-37.5909591,36.05729731,2,3718,0,1,1,0,1
MMU13EYX9VO,Aliquet Sem Corporation,Metairie,KS,93697,73.09603656,168.0072442,2,5620,1,1,1,1,1
CKM32UUR4PK,Nunc Ut Corporation,Cleveland,CO,62061,12.49625098,80.97833083,3,7629,1,0,1,1,0
DHW67BOP0IP,Nisi Mauris LLP,Saint Louis,AK,36024,-55.09851474,133.4553197,5,1088,0,1,0,1,0
JUP35KEH3TR,Vel Corporation,Duluth,NE,90482,84.64369347,155.8540166,5,8217,1,1,1,1,1
UCK08BBY2IE,Cursus Et PC,Independence,AZ,25853,58.28982569,97.80509839,5,6963,0,1,1,0,0
GQI37ODO0UL,Ac Feugiat Company,Springdale,WI,64543,44.13280236,-156.8274557,5,3897,1,0,1,0,0
QCE83QUB1BL,Et Eros Industries,Bowling Green,IA,24925,-39.9676842,38.83721923,5,1947,0,0,1,1,0
EBY51QUL1GG,Tellus Nunc Associates,Nampa,DE,31110,25.50522153,34.95170058,4,803,1,0,1,1,0
TJW33TFR3LD,Nibh PC,Las Vegas,AZ,35762,3.049021952,-54.9069099,2,6473,1,1,1,1,1
PME24NOB0ES,Quam Quis Diam Corp.,Carson City,TX,37378,81.6399871,-177.9821344,3,4038,1,1,1,0,1
LPU38XXB8QT,Malesuada Vel Limited,Los Angeles,IL,51566,-45.10935276,89.95345848,5,2813,1,0,0,1,1
WRJ82NJY8NP,At Velit Pellentesque Industries,Allentown,MT,44647,-87.81124209,-51.70265129,4,429,0,0,0,0,1
EJJ56EOL7WY,Id Blandit Corp.,Honolulu,CA,30186,40.62319022,78.00182825,2,7579,0,0,0,0,0
MEU14JVI9JW,Vestibulum Mauris Inc.,Chattanooga,IA,82861,-81.30517934,103.4997704,4,6997,1,1,0,1,1
VQH72TVY6HP,Sed Auctor LLC,Ketchikan,ME,53473,56.1587414,-74.23396239,1,1753,1,0,1,1,0
CXH04WQP2IB,Cubilia Curae Phasellus LLC,Grand Rapids,HI,71577,42.23398205,1.277910323,5,9443,1,1,1,0,0
YZT28AXF3KM,Dapibus Rutrum PC,Phoenix,AR,10678,31.16865413,-93.5340756,4,8416,0,1,0,1,1
